Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID,avg_speed_kmh,on_time_pct,is_partial_year_data,reliability_risk_score,boardings_per_revenue_hour,line_id_list
049,METROTOWN STN/DUNBAR LOOP/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,109000,77000,16.0,22 km/h,3,8499489,26847,16837,14446,20.0,71%,12012080.0,119176,Data reflects service redesign with R4 in Jan 2020,Dunbar; Langara-49th Avenue; Metrotown; UBC,Canada Line; Expo/Millennium Line,44939.000685953,2024,638,44939.0006859029,2318aa2f-c38e-44c4-a21c-9cd85d328d99,22.0,71.0,False,2464851.81,424974.45,['049']
R4,41ST AVE,Vancouver/UBC,Artic. Bus,All Day Frequent,90000,41000,19.3,27 km/h,2,8802709,27902,18053,14096,17.0,74%,11975846.0,116465,New R4 RapidBus launched Apr 2020,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue; UBC,Canada Line; Expo/Millennium Line,47357.8814076469,2024,802,47357.8814076292,f0f78665-b196-490d-b1ca-b8a88140e38d,27.0,74.0,False,2288704.34,517806.4117647059,['R4']
099,COMMERCIAL-BROADWAY/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent,105000,112000,14.2,20 km/h,1,10623737,34161,21424,15439,22.0,79%,14749254.0,116792,,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,31566.3713253711,2024,642,31566.3713253711,da442fee-4a78-4a3d-9807-9f1cbb70eb67,20.0,79.0,False,2230984.77,482897.1363636364,['099']
025,BRENTWOOD STN/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,121000,69000,18.3,21 km/h,4,6360716,19935,13311,10844,7.0,67%,12000638.0,102193,,Brentwood Town Centre; King Edward; Nanaimo; UBC,Canada Line; Expo/Millennium Line,59843.4987621447,2024,630,59843.4987621325,7ffa388a-fbfd-4b42-91e7-a19ca1aec9fe,21.0,67.0,False,2099036.28,908673.7142857144,['025']
016,29TH AVENUE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,186000,248000,18.4,16 km/h,6,5316227,16009,12638,10352,9.0,74%,10987222.0,102251,,29th Avenue; Granville; NightBus District; Renfrew; Vancouver City Centre,Canada Line; Expo/Millennium Line,45251.4151217583,2024,624,45251.4151217835,7e507859-ddc2-4ed6-b87e-e9b1e7acbe71,16.0,74.0,False,1382219.02,590691.8888888889,['016']
019,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,178000,218000,10.6,14 km/h,10,4378439,12302,11874,10737,6.0,70%,9455227.0,89943,,Burrard; Main Street-Science World; Metrotown; Stanley Park,Expo/Millennium Line,28000.0705038834,2024,626,28000.0705038648,e4b75272-ca3d-404a-98eb-2febdb434dff,14.0,70.0,False,1313531.7,729739.8333333334,['019']
007,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Peak Frequent,178000,225000,14.8,16 km/h,20,3335298,9822,8607,6799,3.0,66%,8275104.0,77629,,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,42065.663384302,2024,618,42065.6633843783,87a78a38-7cce-4b62-93c5-b099eb17fc03,16.0,66.0,False,1134001.32,1111766.0,['007']
020,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,133000,202000,9.2,14 km/h,14,4232015,12601,10106,8752,1.0,77%,8078562.0,67067,,Commercial-Broadway; Granville; Vancouver City Centre,Canada Line; Expo/Millennium Line,21331.7310170281,2024,627,21331.7310170248,f46ef68e-87c6-46c3-a47b-53ad813a77a9,14.0,77.0,False,973363.45,4232015.0,['020']
335,NEWTON/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,136000,52000,13.9,21 km/h,15,4207650,12930,9333,7734,33.0,77%,5773820.0,67534,,Gateway; Guildford; Newton; Surrey Central,Expo/Millennium Line,47392.430862536,2024,733,47392.4308625402,20339c1f-bb6c-487b-ba7b-c8323d714c2f,21.0,77.0,False,967759.5,127504.54545454546,['335']
003,MAIN/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,105000,176000,10.5,14 km/h,17,3559831,10356,9388,7585,1.0,73%,6169846.0,54705,,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22572.0102228356,2024,615,22572.0102227965,042211fb-8f78-4d2e-9473-f57422b676ec,14.0,73.0,False,961154.37,3559831.0,['003']
014,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,176000,246000,14.0,17 km/h,22,3245872,9080,9547,7515,7.0,71%,9219388.0,84772,,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,42302.3507286461,2024,622,42302.3507286959,9c01711a-ca24-4adb-bdf3-e96b8bfdb717,17.0,71.0,False,941302.88,463696.0,['014']
010,GRANVILLE/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,126000,205000,11.5,16 km/h,28,2879359,8791,6489,5429,0.0,68%,6215234.0,55427,,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31287.911514961,2024,621,31287.9115149938,c8ba9f70-57c4-4922-b0e4-aad84ce23d97,16.0,68.0,False,921394.88,inf,['010']
321,WHITE ROCK/NEWTON/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,151000,75000,23.1,23 km/h,13,4328174,12701,10951,9173,35.0,79%,6827256.0,89297,,Columbia; King George; New Westminster; Newton; Scott Road; South Surrey; Surrey Central; White Rock Centre,Expo/Millennium Line,93127.5369621455,2024,726,93127.5369621456,e04e4d32-15d4-4515-a69c-7dd91915c5c0,23.0,79.0,False,908916.54,123662.11428571428,['321']
240,LYNN VALLEY/DOWNTOWN,North Shore,Std. Bus,All Day Frequent,114000,188000,12.9,20 km/h,27,2922507,8808,7175,5481,8.0,70%,6695653.0,59824,Data reflects extension to Lynn Valley in Apr 2020,Lynn Valley; Vancouver City Centre,Canada Line; Expo/Millennium Line,29786.8515911831,2024,704,29786.8515911906,b583299e-ed1f-45fc-bbfd-3b5e5aa7e6b8,20.0,70.0,False,876752.1,365313.375,['240']
005/006,ROBSON/DOWNTOWN/DAVIE,Vancouver/UBC,Std. Trolley,All Day Frequent,138000,189000,2.9,10 km/h,12,4342385,12649,11117,9458,3.0,80%,8618773.0,80792,,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11160.2740784911,2024,617,11160.2740784968,7a441489-d6ab-4fa1-a97a-393f09ebfa63,10.0,80.0,False,868477.0,1447461.6666666667,"['005', '006']"
430,METROTOWN/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,116000,87000,18.9,22 km/h,31,2432584,7255,5816,4978,13.0,66%,4405034.0,46782,,Bridgeport; Metrotown; Richmond-Brighouse,Canada Line; Expo/Millennium Line,39050.3139010241,2024,770,39050.313901024,38c39a31-8847-4374-bd98-a615c4988df8,22.0,66.0,False,827078.56,187121.84615384616,['430']
R1,KING GEORGE BLVD,Southeast,Artic. Bus,All Day Frequent,83000,48000,10.8,19 km/h,8,5163383,15436,12021,10690,15.0,84%,5883318.0,59606,Upgraded to R1 RapidBus from 96 B-Line in Jan 2020,Guildford; King George; Newton; Surrey Central,Expo/Millennium Line,32291.6706529458,2024,799,32291.6706529779,cabc409f-4a77-4fca-875b-d9c5fe7ae595,19.0,84.0,False,826141.28,344225.5333333333,['R1']
008,FRASER/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,101000,173000,7.2,14 km/h,26,2943726,8741,7150,6082,1.0,72%,5458270.0,50051,,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.3959226333,2024,619,19962.3959226045,79abfe2f-20ba-4280-a98c-6a1cf84a385a,14.0,72.0,False,824243.28,2943726.0,['008']
R5,HASTINGS ST,Burnaby/New Westminster,Artic. Bus,All Day Frequent,98000,173000,12.5,23 km/h,11,4346935,13710,8871,7260,13.0,82%,9070074.0,75838,Upgraded to R5 RapidBus from 95 B-Line in Jan 2020; Data reflects former 135 route up to Dec 2016,Burrard; Kootenay; SFU; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40036.2164514787,2024,803,40036.2164515047,9326c757-2a60-4049-bd09-df35362cdb67,23.0,82.0,False,782448.3,334379.6153846154,['R5']
130,METROTOWN/PENDER/KOOTENAY,Burnaby/New Westminster,Std. Bus,All Day Frequent,82000,58000,7.7,18 km/h,21,3255555,10241,7042,5222,10.0,76%,5213284.0,52933,Data reflects service redesign with 222 and 245 in Apr 2020,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,31052.2308358478,2024,657,31052.230835865,ae4adbf1-0ebf-408f-86d6-4ee842a61697,18.0,76.0,False,781333.2,325555.5,['130']
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,101000,181000,10.1,24 km/h,32,2380826,7008,6150,4862,7.0,68%,7352381.0,68791,,Horseshoe Bay; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,48665.4876556456,2024,709,48665.4876556702,dd6be555-92c9-4bb5-8ac9-46ed3588fb71,24.0,68.0,False,761864.32,340118.0,['250']
009,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,125000,123000,9.4,16 km/h,16,3993678,12112,8792,8010,14.0,81%,9465116.0,75918,,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,32976.6972659692,2024,620,32976.6972659758,1f35b3f0-c7da-46c6-a84d-496849b77680,16.0,81.0,False,758798.82,285262.71428571426,['009']
017,DOWNTOWN/OAK,Vancouver/UBC,Std. Trolley,All Day Frequent,123000,216000,12.3,16 km/h,42,2012206,6121,4502,3906,1.0,65%,5286047.0,46721,,Broadway-City Hall; Granville; Marine Drive; Vancouver City Centre,Canada Line; Expo/Millennium Line,26168.2837708861,2024,625,26168.283770936,95ef041c-ce73-432f-815e-9977dab6493d,16.0,65.0,False,704272.1,2012206.0,['017']
002,MACDONALD/BURRARD STN,Vancouver/UBC,Artic. Bus,All Day Frequent,99000,157000,8.5,18 km/h,23,3126576,9238,7958,6346,2.0,78%,6711208.0,49850,,Burrard; Dunbar,Expo/Millennium Line,20573.6754470364,2024,614,20573.6754470708,9ff8840e-7c6e-4c98-8da2-a4b968b3daa4,18.0,78.0,False,687846.72,1563288.0,['002']
004,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,154000,232000,13.3,18 km/h,33,2359286,6837,6213,5137,5.0,71%,6707529.0,64050,,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46319.7686208162,2024,616,46319.768620847,d3154bf4-d23b-4f7b-abc8-8654410cce60,18.0,71.0,False,684192.94,471857.2,['004']
323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Artic. Bus,All Day Frequent,56000,45000,10.5,18 km/h,9,4881294,14348,11810,10685,13.0,86%,5049848.0,63891,,Newton; Surrey Central,Expo/Millennium Line,21912.5002396903,2024,728,21912.5002397036,a5cb206a-16ac-4626-a636-199ced3f3a23,18.0,86.0,False,683381.16,375484.1538461539,['323']
503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,104000,60000,22.5,28 km/h,30,2750420,8344,6445,5195,26.0,77%,7954672.0,83870,Data reflects service redesign with 502 in Sep 2019,King George; Langley Centre; Surrey Central,Expo/Millennium Line,82280.3280092429,2024,773,82280.3280092319,b3f5159b-2260-4427-a11d-e21a399e3bb3,28.0,77.0,False,632596.6,105785.3846153846,['503']
015/050,CAMBIE/OLYMPIC VILLAGE STN/WATERFRONT STN/FALSE CREEK SOUTH,Vancouver/UBC,Std. Bus,Peak Frequent,163000,252000,7.1,15 km/h,34,2347400,6728,6199,5381,3.0,74%,6211980.0,58311,015/050 run as a connected route,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.9002925967,2024,623,40758.9002926137,0a3fd9f3-3bcf-40a3-ac63-ce27864e974c,15.0,74.0,False,610324.0,782466.6666666666,"['015', '050']"
410,RICHMOND-BRIGHOUSE STN/22ND ST STN,Southwest,Std. Bus,All Day Frequent,79000,78000,18.3,27 km/h,19,3381191,10259,7758,6512,10.0,82%,6959054.0,69858,,22nd Street; Aberdeen; Lansdowne; Richmond-Brighouse,Canada Line; Expo/Millennium Line,66894.8100992632,2024,764,66894.8100992577,787bcc8a-7d8e-4d6c-a158-f47587ce3b29,27.0,82.0,False,608614.38,338119.1,['410']
022,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,134000,213000,10.5,16 km/h,29,2777619,8534,6093,5168,9.0,81%,6328894.0,58663,,Burrard; Knight Street-Marine Drive; Main Street-Science World,Expo/Millennium Line,39418.727812681,2024,628,39418.7278126989,8970b699-ab8e-4235-8417-c1c31b32243f,16.0,81.0,False,527747.61,308624.3333333333,['022']
033,29 AVE STN/ UBC,Vancouver/UBC,Std. Bus,Peak Frequent,102000,42000,17.9,21 km/h,35,2284183,7457,4073,3316,16.0,77%,4547934.0,43082,,29th Avenue; King Edward; UBC,Canada Line; Expo/Millennium Line,40278.8823864503,2024,636,40278.8823864261,b42a1913-2aa3-49bd-9138-be9f5a99ca60,21.0,77.0,False,525362.09,142761.4375,['033']
364,LANGLEY CTR/ SCOTTSDALE,Southeast,Std. Bus,Standard,92000,42000,21.7,23 km/h,45,1860283,5706,4189,3412,16.0,72%,3437474.0,39288,,,,55646.8825108231,2024,747,55646.8825108368,a6f82520-56e2-4482-9847-4f2ee608c010,23.0,72.0,False,520879.24,116267.6875,['364']
319,SCOTT STN/NEWTON EXCH/SCOTTSDALE,Southeast,Std. Bus,All Day Frequent,66000,36000,12.3,20 km/h,24,3046316,9063,7170,6412,6.0,83%,10486822.0,56496,,Newton; Scott Road; Scottsdale,Expo/Millennium Line,36393.0708065474,2024,724,36393.0708065824,52a601f0-53fb-4cc3-9709-0d5c51dba540,20.0,83.0,False,517873.72,507719.3333333333,['319']
502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,82000,48000,14.2,24 km/h,38,2093162,6101,5481,4445,13.0,76%,6241032.0,60894,Data reflects service redesign with 503 in Sep 2019,King George; Langley Centre; Surrey Central,Expo/Millennium Line,48411.5629686571,2024,772,48411.5629686289,e9a445e7-6d99-4c45-92bd-45f9aff8aad1,24.0,76.0,False,502358.88,161012.46153846153,['502']
100,22ND ST STN/MARPOLE LOOP,Vancouver/UBC,Std. Bus,All Day Frequent,62000,39000,16.4,23 km/h,18,3501686,10497,7941,7307,9.0,86%,7619749.0,68277,,22nd Street; Knight Street-Marine Drive; Marine Drive; Marpole,Canada Line; Expo/Millennium Line,40889.3409886912,2024,643,40889.3409886564,f6003f90-e799-4fb8-a270-259e54560c97,23.0,86.0,False,490236.04,389076.2222222223,['100']
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,130000,74000,9.9,20 km/h,46,1776095,5757,3297,2633,2.0,74%,4692654.0,43966,129/133 run as a connected route,Edmonds; Gilmore; Holdom; Metrotown; Patterson,Expo/Millennium Line,37041.3027113378,2024,656,37041.302711372,caf9cd8a-6a2e-4e15-a31b-5e2da55c46a7,20.0,74.0,False,461784.7,888047.5,"['129', '133']"
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,125000,64000,14.5,21 km/h,36,2168022,6449,5162,4521,14.0,79%,5313827.0,56175,,Cloverdale; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,58166.7722320211,2024,725,58166.7722319753,bc9a3b59-5699-4f7a-894a-2086e3b50064,21.0,79.0,False,455284.62,154858.7142857143,['320']
084,UBC/VCC-CLARK STATION,Vancouver/UBC,Artic. Bus,Peak Frequent,88000,97000,13.7,23 km/h,37,2167861,7278,4117,2176,4.0,79%,4167713.0,33742,,Olympic Village; UBC; VCC-Clark,Canada Line; Expo/Millennium Line,29058.5360309746,2024,641,29058.5360309322,69cb398f-9dfa-4724-837d-8bbfca5eb851,23.0,79.0,False,455250.81,541965.25,['084']
R2,MARINE DR,North Shore,Artic. Bus,All Day Frequent,40000,38000,10.2,20 km/h,43,1943733,5728,4979,3979,0.0,78%,5334167.0,50331,New R2 RapidBus launched Apr 2020,,,19990.5401787761,2024,800,19990.5401787347,a4021407-bead-4eef-95d8-791312eeb2aa,20.0,78.0,False,427621.26,inf,['R2']
106,NEW WESTMINSTER STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,66000,28000,6.3,14 km/h,25,3013356,9175,7172,5475,7.0,86%,3861542.0,37812,,Edmonds; New Westminster,Expo/Millennium Line,10849.7340515822,2024,648,10849.7340515853,3f502492-88c2-4b7c-9dac-aca42c486b29,14.0,86.0,False,421869.84,430479.4285714286,['106']
501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,95000,80000,27.4,25 km/h,41,2041306,6539,4252,2954,22.0,80%,4986833.0,52486,,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,71141.1368100063,2024,771,71140.9668099704,cb75ef30-42a0-462e-9863-0ca1d5bf9231,25.0,80.0,False,408261.2,92786.63636363635,['501']
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Standard,71000,52000,13.5,21 km/h,79,984327,3138,1910,1596,1.0,61%,3495433.0,32819,Data reflects service redesign with R2 in Apr 2020,,,31046.9620676917,2024,714,31046.9620676539,3cfa5e69-6561-4d86-aecc-2a1f0225edcb,21.0,61.0,False,383887.53,984327.0,['255']
301,NEWTON EXCHANGE/BRIGHOUSE STATION,Southwest,Double Decker,Peak Frequent,94000,56000,29.6,33 km/h,48,1666198,5213,3209,3098,5.0,77%,3808597.0,37564,,Newton; Richmond-Brighouse; Scottsdale,Canada Line,82764.4347092982,2024,718,82764.4347093177,3801231a-1acc-4c67-acda-dbc79d0907b9,33.0,77.0,False,383225.54,333239.6,['301']
041,JOYCE STN/CROWN,Vancouver/UBC,Std. Trolley,All Day Frequent,85000,25000,8.4,20 km/h,39,2082335,5723,5773,5495,1.0,82%,5372942.0,49911,Data reflects service redesign with R4 in Jan 2020,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue,Canada Line; Expo/Millennium Line,27300.0057702674,2024,637,27300.0057702553,12191f5a-2962-4ebf-92e9-b2ae8eb776f2,20.0,82.0,False,374820.3,2082335.0,['041']
